job_title_short,job_title,job_location,job_via,job_schedule_type,job_work_from_home,search_location,job_posted_date,job_no_degree_mention,job_health_insurance,job_country,salary_rate,salary_year_avg,salary_hour_avg,company_name,job_skills,job_type_skills,job_posted_month
Data Engineer,Data Engineer SAP Reporting (m/w/d),Germany,via Indeed,Full-time,False,Germany,2023-11-06 14:09:43,True,False,Germany,,,,Hays,"['sap', 'jira', 'confluence']","{'analyst_tools': ['sap'], 'async': ['jira', 'confluence']}",Nov
Data Scientist,Data Scientist Kundendatenauswertung,Germany,via BeBee Deutschland,,False,Germany,2023-02-02 13:20:13,False,False,Germany,,,,Hays AG,['r'],{'programming': ['r']},Feb
Data Engineer,Remote: Data Engineers,Germany,via BeBee,"Full-time, Part-time, and Temp work",False,Germany,2023-11-03 13:13:20,False,False,Germany,,,,Deutsche Bundesbank,"['hadoop', 'unix', 'linux', 'redhat']","{'libraries': ['hadoop'], 'os': ['unix', 'linux', 'redhat']}",Nov
Data Engineer,Data Engineer (m/f/d),Germany,via LinkedIn,Full-time,False,Germany,2023-06-05 13:38:44,True,False,Germany,,,,PARTSCLOUD GmbH,"['python', 'sql', 'postgresql', 'aws', 'react', 'pandas', 'django', 'docker']","{'cloud': ['aws'], 'databases': ['postgresql'], 'libraries': ['react', 'pandas'], 'other': ['docker'], 'programming': ['python', 'sql'], 'webframeworks': ['django']}",Jun
Senior Data Scientist,Senior Data Scientist Remote,Germany,via BeBee,Full-time,False,Germany,2023-12-02 13:27:40,False,False,Germany,,,,Deutsche Bahn AG,"['sql', 'spss']","{'analyst_tools': ['spss'], 'programming': ['sql']}",Dec
Data Scientist,Data Warehouse Specialist,Germany,via Jobs Trabajo.org,Full-time,False,Germany,2023-10-18 13:13:57,True,False,Germany,,,,CompuSafe Data Systems,['sql'],{'programming': ['sql']},Oct
Data Analyst,Data Analyst in der Autovermietung / Business Analyst (m/w/d...,Germany,via LinkedIn,Full-time,False,Germany,2023-11-20 13:17:04,True,False,Germany,,,,Avis Budget Group,['excel'],{'analyst_tools': ['excel']},Nov
Data Analyst,Data Analyst (w/m/d),Germany,via Stepstone,Full-time,False,Germany,2023-06-23 13:31:55,True,False,Germany,,,,Lenze SE,"['sql', 'sap', 'excel', 'dax']","{'analyst_tools': ['sap', 'excel', 'dax'], 'programming': ['sql']}",Jun
Cloud Engineer,Cloud Engineer,Germany,via BeBee,Full-time,False,Germany,2023-11-19 13:18:02,True,False,Germany,,,,Capgemini,"['python', 'sql', 'bash', 'redshift', 'spark', 'kubernetes']","{'cloud': ['redshift'], 'libraries': ['spark'], 'other': ['kubernetes'], 'programming': ['python', 'sql', 'bash']}",Nov
Data Engineer,Data Engineer,Germany,via LinkedIn,Full-time,False,Germany,2023-08-24 13:42:39,False,False,Germany,,,,Audi Interaction GmbH,"['sql', 'vba', 'oracle', 'sap', 'ms access', 'excel']","{'analyst_tools': ['sap', 'ms access', 'excel'], 'cloud': ['oracle'], 'programming': ['sql', 'vba']}",Aug
Data Engineer,Data Engineer (alle Geschlechter),Germany,via Stepstone,Full-time,False,Germany,2023-12-26 13:16:49,True,False,Germany,,,,APCOA Holdings GmbH,"['sql', 'c#', 'python', 'sql server', 'azure', 'ssis', 'flow']","{'analyst_tools': ['ssis'], 'cloud': ['azure'], 'databases': ['sql server'], 'other': ['flow'], 'programming': ['sql', 'c#', 'python']}",Dec
Data Analyst,Working Student Data Analysis,Germany,via Jobs Trabajo.org,Full-time,False,Germany,2023-10-19 13:35:19,True,False,Germany,,,,CarOnSale,"['sql', 'python', 'windows', 'tableau']","{'analyst_tools': ['tableau'], 'os': ['windows'], 'programming': ['sql', 'python']}",Oct
Data Engineer,(Senior) Data Engineer Public Sector (m/w/d),Germany,via Stepstone,Full-time,False,Germany,2023-12-12 13:33:29,True,False,Germany,,,,Materna Information & Communications SE,"['java', 'python', 'mongodb', 'mongodb', 'postgresql', 'elasticsearch', 'kafka', 'hadoop', 'kubernetes', 'docker']","{'databases': ['mongodb', 'postgresql', 'elasticsearch'], 'libraries': ['kafka', 'hadoop'], 'other': ['kubernetes', 'docker'], 'programming': ['java', 'python', 'mongodb']}",Dec
Data Engineer,CLOUD DATA ENGINEER (M/W/D),Germany,via LinkedIn,Full-time,False,Germany,2023-12-21 13:35:30,True,False,Germany,,,,INFOMOTION GmbH,"['java', 'scala', 'python', 'azure', 'aws', 'gcp', 'git', 'terraform', 'ansible', 'puppet']","{'cloud': ['azure', 'aws', 'gcp'], 'other': ['git', 'terraform', 'ansible', 'puppet'], 'programming': ['java', 'scala', 'python']}",Dec
Data Engineer,"Data Engineer II, AMZL Orbit Data Engineering",Germany,via Stepstone,Full-time,False,Germany,2023-11-23 13:24:05,True,False,Germany,,,,Amazon Europe Core,"['dynamodb', 'aws', 'redshift', 'hadoop', 'spark']","{'cloud': ['aws', 'redshift'], 'databases': ['dynamodb'], 'libraries': ['hadoop', 'spark']}",Nov
Data Scientist,Microsoft Consultant Data Science,Germany,via BeBee,Full-time,False,Germany,2023-10-31 13:11:59,False,False,Germany,,,,mayato GmbH,"['sql', 'sas', 'sas', 'r', 'python', 'java', 'c#', 'c++', 'hadoop', 'sap', 'tableau', 'power bi']","{'analyst_tools': ['sas', 'sap', 'tableau', 'power bi'], 'libraries': ['hadoop'], 'programming': ['sql', 'sas', 'r', 'python', 'java', 'c#', 'c++']}",Oct
Data Scientist,Data Scientist,Germany,via Jobs Trabajo.org,Full-time,False,Germany,2023-10-27 13:13:09,False,False,Germany,,,,Beckhoff Automation GmbH & Co. KG,['python'],{'programming': ['python']},Oct
Data Analyst,Risk Data Analyst | Risk | S2 | Milton Keynes,Germany,via Indeed,Full-time,False,Germany,2023-10-27 13:12:04,True,False,Germany,,,,Santander,"['python', 'sas', 'sas']","{'analyst_tools': ['sas'], 'programming': ['python', 'sas']}",Oct
Data Engineer,Google Cloud Data Engineer*,Germany,via LinkedIn,Full-time,False,Germany,2023-02-21 13:35:06,True,False,Germany,,,,b.telligent,"['sql', 'python', 'java', 'scala', 'airflow', 'spark', 'hadoop']","{'libraries': ['airflow', 'spark', 'hadoop'], 'programming': ['sql', 'python', 'java', 'scala']}",Feb
Data Scientist,Geodaten-Wissenschaftler (m/w/d),Germany,via BeBee,Full-time,False,Germany,2023-10-04 13:15:25,False,False,Germany,,,,GAF AG,"['python', 'postgresql', 'airflow', 'wsl', 'linux', 'git', 'docker', 'jenkins']","{'databases': ['postgresql'], 'libraries': ['airflow'], 'os': ['wsl', 'linux'], 'other': ['git', 'docker', 'jenkins'], 'programming': ['python']}",Oct
Data Engineer,(Junior) Big Data Engineer (m/w/d),Germany,via Stepstone,Full-time,False,Germany,2023-10-02 13:36:45,True,False,Germany,,,,Deichmann SE,"['python', 'sql', 'databricks', 'snowflake', 'azure', 'spark', 'airflow']","{'cloud': ['databricks', 'snowflake', 'azure'], 'libraries': ['spark', 'airflow'], 'programming': ['python', 'sql']}",Oct
Data Scientist,W3-Professur für Medical Data Science (m/w/d),Germany,via Nature,Full-time,False,Germany,2023-08-31 13:52:51,False,False,Germany,,,,Otto-von-Guericke-Universität Magdeburg Medizinische Fakultät,,,Aug
Data Engineer,Architect - Data Engineering,Germany,via BeBee,Full-time,False,Germany,2023-11-28 13:20:54,False,False,Germany,,,,Inensia,,,Nov
Data Scientist,Data Scientist / Data Engineer (m/w/d),Germany,via RUHR24JOBS,Full-time,False,Germany,2023-08-30 13:30:44,False,False,Germany,,,,Qimia GmbH,"['sql', 'python', 'r', 'java', 'c', 'scala', 'aws', 'azure', 'numpy', 'pandas', 'pyspark', 'jupyter', 'hugging face', 'spark', 'kafka', 'scikit-learn', 'pytorch', 'tensorflow']","{'cloud': ['aws', 'azure'], 'libraries': ['numpy', 'pandas', 'pyspark', 'jupyter', 'hugging face', 'spark', 'kafka', 'scikit-learn', 'pytorch', 'tensorflow'], 'programming': ['sql', 'python', 'r', 'java', 'c', 'scala']}",Aug
Cloud Engineer,Video Engineer,Germany,via BeBee,Full-time,False,Germany,2023-11-19 13:18:00,True,False,Germany,,,,Christy Media Solutions,,,Nov
Data Engineer,Data Engineer (m/f/d),Germany,via Indeed,Temp work,False,Germany,2023-09-22 13:36:10,False,False,Germany,,,,Hays,"['sql', 'python', 'snowflake', 'flow']","{'cloud': ['snowflake'], 'other': ['flow'], 'programming': ['sql', 'python']}",Sep
Senior Data Engineer,(Senior) Big Data Engineer,Germany,via Jobs Trabajo.org,Full-time,False,Germany,2023-11-07 13:39:40,True,False,Germany,,,,Deichmann SE,"['python', 'sql', 'databricks', 'snowflake', 'azure', 'spark', 'airflow']","{'cloud': ['databricks', 'snowflake', 'azure'], 'libraries': ['spark', 'airflow'], 'programming': ['python', 'sql']}",Nov
Data Scientist,Data Strategist (m/w/d),Germany,via Interone GmbH - Softgarden,Full-time,False,Germany,2023-07-15 13:09:52,False,False,Germany,,,,Interone GmbH,['powerpoint'],{'analyst_tools': ['powerpoint']},Jul
Data Scientist,Product Data Scientist (f/m/d),Germany,via Stepstone,Full-time,False,Germany,2023-11-04 13:33:28,False,False,Germany,,,,TRANSPOREON GmbH,"['typescript', 'python']","{'programming': ['typescript', 'python']}",Nov
Data Engineer,GCP Certified Data Engineer,Germany,via WJHL Jobs,Contractor,False,Germany,2023-07-24 13:18:44,False,False,Germany,,,,Jefferson Frank International,"['sql', 'python', 'java', 'scala', 'gcp', 'snowflake', 'redshift', 'bigquery', 'hadoop', 'spark']","{'cloud': ['gcp', 'snowflake', 'redshift', 'bigquery'], 'libraries': ['hadoop', 'spark'], 'programming': ['sql', 'python', 'java', 'scala']}",Jul
Data Analyst,Data Analyst,Germany,via BeBee,Full-time,False,Germany,2023-11-23 13:23:32,True,False,Germany,,,,Amazon,"['sql', 'vba', 'mysql', 'ms access', 'excel']","{'analyst_tools': ['ms access', 'excel'], 'databases': ['mysql'], 'programming': ['sql', 'vba']}",Nov
Senior Data Analyst,senior data analyst,Germany,via WJTV Jobs,Full-time,False,Germany,2023-02-09 13:30:36,False,False,Germany,,,,BP,,,Feb
Data Analyst,Digital Analyst E-Commerce (m/w/d),Germany,via Stepstone,Full-time,False,Germany,2023-12-28 13:29:36,True,False,Germany,,,,Müller Holding GmbH & Co. KG,,,Dec
Data Analyst,Data Analyst (m/w/d),Germany,via StepStone,Full-time,False,Germany,2023-01-19 14:05:19,False,False,Germany,,,,cellcentric GmbH & Co. KG,"['sql', 'python', 'tableau']","{'analyst_tools': ['tableau'], 'programming': ['sql', 'python']}",Jan
